iter	Logloss
0	0.6226870866
1	0.5751432709
2	0.5352887799
3	0.5034700368
4	0.4710814043
5	0.448324053
6	0.4332413248
7	0.4211089634
8	0.4103198724
9	0.397859918
10	0.3917475464
11	0.3829004631
12	0.3780205117
13	0.3731950326
14	0.3677659256
15	0.365164935
16	0.3623685361
17	0.3600452362
18	0.3585317818
19	0.3563874094
20	0.3541265658
21	0.353150642
22	0.3522563626
23	0.3499231427
24	0.3489662542
25	0.3481800861
26	0.3469647085
27	0.345556217
28	0.3443546622
29	0.342994496
30	0.3421508001
31	0.3413076864
32	0.3402473202
33	0.3393546991
34	0.3380550249
35	0.3368811489
36	0.3364194751
37	0.3359151214
38	0.3354475031
39	0.3349048586
40	0.3341551492
41	0.3335098768
42	0.3329979235
43	0.3320233249
44	0.3314416882
45	0.3305763972
46	0.3300356455
47	0.3295678978
48	0.3286729495
49	0.3279158917
50	0.3276096197
51	0.3271981605
52	0.3268588968
53	0.3263322911
54	0.3260410666
55	0.3256780408
56	0.3248458523
57	0.3243927187
58	0.3240485773
59	0.3235170407
60	0.3229998325
61	0.3227504098
62	0.3224489419
63	0.3220335745
64	0.3214823917
65	0.3211356975
66	0.3207611846
67	0.3204891488
68	0.3201839152
69	0.3197239708
70	0.3194289543
71	0.3191776392
72	0.3187777181
73	0.3183802209
74	0.318164225
75	0.3176438686
76	0.317158169
77	0.3169163793
78	0.3165365376
79	0.3163508858
80	0.3157595138
81	0.3154910502
82	0.3151772691
83	0.3146503291
84	0.3141164393
85	0.3136576437
86	0.3133778109
87	0.3132713403
88	0.3130154307
89	0.3127450494
90	0.3126201019
91	0.3122360197
92	0.3118341247
93	0.3115835777
94	0.3112878598
95	0.3107145259
96	0.3105821828
97	0.3102417993
98	0.3099469166
99	0.3097571497
100	0.3093179812
101	0.3090273764
102	0.3088456587
103	0.3083606377
104	0.3077882435
105	0.3075708147
106	0.3073214144
107	0.3069824053
108	0.3067519787
109	0.3064974968
110	0.3063534829
111	0.3060201125
112	0.3058121934
113	0.3054998028
114	0.3053058858
115	0.3049412406
116	0.3046050482
117	0.30426732
118	0.3039962899
119	0.3037222557
120	0.3033834566
121	0.3029549993
122	0.3026553422
123	0.3020599897
124	0.3017494241
125	0.3013592828
126	0.3010596326
127	0.3007965247
128	0.3004695163
129	0.3001791654
130	0.2999666293
131	0.2997349741
132	0.2995304865
133	0.299166246
134	0.2989370197
135	0.2987493567
136	0.2984473208
137	0.2982017739
138	0.2979199904
139	0.2976677579
140	0.2974911882
141	0.2971041489
142	0.2969204921
143	0.2967710141
144	0.2965322689
145	0.296174578
146	0.2959822035
147	0.2958508627
148	0.2956622819
149	0.2952906816
150	0.2949437439
151	0.294541101
152	0.2942563987
153	0.2940731174
154	0.2939575532
155	0.2938864804
156	0.2935249303
157	0.2932447387
158	0.2929355757
159	0.2926544732
160	0.2923347268
161	0.292111061
162	0.29192834
163	0.2917897274
164	0.2916292613
165	0.2914082602
166	0.2912413878
167	0.2910036657
168	0.2908425627
169	0.2907070111
170	0.2903784797
171	0.2901536583
172	0.2898464756
173	0.289738999
174	0.2894271642
175	0.2893660433
176	0.2892808085
177	0.2891645277
178	0.2887552238
179	0.2884414802
180	0.2881698266
181	0.2879667015
182	0.2877764619
183	0.2875424016
184	0.2873503447
185	0.2868864419
186	0.2866935068
187	0.2865838732
188	0.2864327115
189	0.2863091333
190	0.2862063109
191	0.2858553333
192	0.2856167609
193	0.285415877
194	0.2851954614
195	0.2850621224
196	0.2849113448
197	0.2847978782
198	0.2846301182
199	0.2844025021
200	0.284263467
201	0.2841203812
202	0.2839156027
203	0.2837045756
204	0.2834337676
205	0.2831955484
206	0.2829975685
207	0.2827651668
208	0.2824619963
209	0.2822961933
210	0.2821537139
211	0.2818560882
212	0.2817421088
213	0.281557309
214	0.2813619645
215	0.2812723983
216	0.2810268578
217	0.2808886308
218	0.2806050411
219	0.2804368187
220	0.280176542
221	0.2799437248
222	0.2794565283
223	0.2792967144
224	0.2792650382
225	0.2790839455
226	0.2787063955
227	0.2785907895
228	0.27834591
229	0.2780854705
230	0.2778473073
231	0.2776550869
232	0.2774637425
233	0.2773857941
234	0.2772996267
235	0.2772043562
236	0.2770358996
237	0.2769137191
238	0.2767732631
239	0.2765238293
240	0.2762839285
241	0.2761647023
242	0.2759155269
243	0.2757700349
244	0.2756487676
245	0.2754772224
246	0.2753057111
247	0.2751177654
248	0.2749948871
249	0.2749286589
250	0.274712348
251	0.2745904465
252	0.274505667
253	0.2744554455
254	0.2743886066
255	0.2741813289
256	0.2740044276
257	0.2737744356
258	0.2735578718
259	0.2734098477
260	0.2733524597
261	0.2731662789
262	0.2729646169
263	0.2727913191
264	0.2725631087
265	0.2724080206
266	0.2722502814
267	0.2721121305
268	0.2720343752
269	0.2718771754
270	0.2717581947
271	0.2716028684
272	0.2714501924
273	0.2713501741
274	0.2711758373
275	0.2710884203
276	0.2709674914
277	0.2709008935
278	0.2707289614
279	0.2705616298
280	0.2705021309
281	0.2703308565
282	0.2701338416
283	0.269978247
284	0.269809326
285	0.2697341698
286	0.2696021132
287	0.2695202337
288	0.2693427657
289	0.2691203726
290	0.2688741727
291	0.2687777317
292	0.2686485106
293	0.2684698949
294	0.268257939
295	0.2681604824
296	0.2680333839
297	0.2678906839
298	0.2677031162
299	0.2676855724
